Month,City,Company,Total Monthly Hours,TariffRate
August,Chennai,Reliance Energy,616.875,8.8
January,Chennai,Reliance Energy,383.6,8.8
December,Chennai,Tata Power Company Ltd.,235.2,8.8
March,Chennai,Indowind Energy,360.5,8.8
December,Chennai,Orient Green,311.5,8.8
June,Chennai,Adani Power Ltd.,981.75,8.8
October,Chennai,Orient Green,564.375,8.8
July,Chennai,Orient Green,1021.125,8.8
July,Chennai,Adani Power Ltd.,1052.625,8.8
April,Chennai,Orient Green,721.875,8.8
January,Chennai,Adani Power Ltd.,340.9,8.8
September,Chennai,Orient Green,332.85,8.8
February,Chennai,Tata Power Company Ltd.,320.6,8.8
September,Chennai,Tata Power Company Ltd.,427.35,8.8
December,Chennai,Tata Power Company Ltd.,368.9,8.8
December,Chennai,Adani Power Ltd.,427.7,8.8
February,Chennai,Tata Power Company Ltd.,353.5,8.8
December,Chennai,Tata Power Company Ltd.,474.6,8.8
November,Chennai,Tata Power Company Ltd.,399.7,8.8
February,Chennai,Orient Green,380.1,8.8
August,Chennai,Tata Power Company Ltd.,532.875,8.8
November,Chennai,Indowind Energy,452.2,8.8
May,Chennai,Tata Power Company Ltd.,537.25,8.8
September,Chennai,Orient Green,520.8,8.8
February,Chennai,Indowind Energy,398.3,8.8
June,Chennai,Tata Power Company Ltd.,1722,8.8
June,Chennai,Orient Green,2709,8.8
October,Chennai,Reliance Energy,929.25,8.8
October,Chennai,Adani Power Ltd.,1032.5,8.8
July,Chennai,Adani Power Ltd.,2031.75,8.8
March,Chennai,Indowind Energy,1093.75,8.8
March,Chennai,Orient Green,789.25,8.8
January,Chennai,Reliance Energy,1057,8.8
November,Chennai,Indowind Energy,718.2,8.8
October,Chennai,Tata Power Company Ltd.,1177.75,8.8
September,Chennai,Reliance Energy,554.4,8.8
August,Chennai,Tata Power Company Ltd.,1729.875,8.8
May,Chennai,Adani Power Ltd.,1694,8.8
March,Chennai,Orient Green,1193.5,8.8
September,Chennai,Indowind Energy,1203.3,8.8
November,Chennai,Reliance Energy,399,8.8
April,Chennai,Tata Power Company Ltd.,1152.375,8.8
August,Chennai,Tata Power Company Ltd.,1648.5,8.8
November,Chennai,Adani Power Ltd.,610.4,8.8
September,Chennai,Tata Power Company Ltd.,949.2,8.8
May,Chennai,Adani Power Ltd.,1841,8.8
January,Chennai,Indowind Energy,1016.4,8.8
April,Chennai,Tata Power Company Ltd.,1086.75,8.8
May,Chennai,Indowind Energy,1284.5,8.8
July,Chennai,Adani Power Ltd.,3528,8.8
October,Chennai,Orient Green,1216.25,8.8
February,Chennai,Orient Green,744.8,8.8
January,Chennai,Tata Power Company Ltd.,908.6,8.8
November,Chennai,Reliance Energy,646.8,8.8
July,Chennai,Adani Power Ltd.,2231.25,8.8
July,Chennai,Tata Power Company Ltd.,3008.25,8.8
November,Chennai,Reliance Energy,826,8.8
January,Chennai,Indowind Energy,483,8.8
April,Chennai,Indowind Energy,1412.25,8.8
March,Chennai,Tata Power Company Ltd.,1043,8.8
June,Chennai,Reliance Energy,2651.25,8.8
October,Chennai,Tata Power Company Ltd.,766.5,8.8
September,Chennai,Indowind Energy,1152.9,8.8
March,Chennai,Tata Power Company Ltd.,365.75,8.8
September,Chennai,Reliance Energy,882,8.8
February,Chennai,Tata Power Company Ltd.,655.2,8.8
January,Chennai,Adani Power Ltd.,732.2,8.8
June,Chennai,Reliance Energy,2934.75,8.8
January,Chennai,Reliance Energy,1090.6,8.8
May,Chennai,Adani Power Ltd.,2341.5,8.8
January,Chennai,Adani Power Ltd.,445.2,8.8
August,Chennai,Orient Green,1829.625,8.8
November,Chennai,Orient Green,641.2,8.8
December,Chennai,Tata Power Company Ltd.,733.6,8.8
July,Chennai,Tata Power Company Ltd.,2856,8.8
May,Chennai,Tata Power Company Ltd.,2096.5,8.8
May,Chennai,Orient Green,1575,8.8
December,Chennai,Orient Green,904.4,8.8
April,Chennai,Tata Power Company Ltd.,1257.375,8.8
April,Chennai,Adani Power Ltd.,1630.125,8.8
May,Chennai,Indowind Energy,1893.5,8.8
January,Chennai,Reliance Energy,971.6,8.8
March,Chennai,Orient Green,649.25,8.8
September,Chennai,Orient Green,1388.1,8.8
July,Chennai,Reliance Energy,2640.75,8.8
May,Chennai,Adani Power Ltd.,1428,8.8
March,Chennai,Tata Power Company Ltd.,1064,8.8
September,Chennai,Adani Power Ltd.,1220.1,8.8
March,Chennai,Indowind Energy,1240.75,8.8
December,Chennai,Indowind Energy,530.6,8.8
August,Chennai,Tata Power Company Ltd.,1160.25,8.8
March,Chennai,Indowind Energy,896,8.8
August,Chennai,Tata Power Company Ltd.,1099.875,8.8
August,Chennai,Indowind Energy,690.375,8.8
November,Chennai,Tata Power Company Ltd.,831.6,8.8
February,Chennai,Adani Power Ltd.,515.2,8.8
June,Chennai,Orient Green,3307.5,8.8
June,Chennai,Adani Power Ltd.,2688,8.8
August,Chennai,Adani Power Ltd.,1420.125,8.8
January,Chennai,Reliance Energy,946.4,8.8
March,Chennai,Reliance Energy,1174.25,8.8
July,Chennai,Adani Power Ltd.,3948,8.8
August,Chennai,Tata Power Company Ltd.,1228.5,8.8
April,Chennai,Indowind Energy,1191.75,8.8
February,Chennai,Adani Power Ltd.,462,8.8
April,Chennai,Orient Green,1572.375,8.8
February,Chennai,Orient Green,756,8.8
September,Chennai,Orient Green,1247.4,8.8
June,Chennai,Adani Power Ltd.,2803.5,8.8
April,Chennai,Orient Green,1388.625,8.8
February,Chennai,Reliance Energy,554.4,8.8
March,Chennai,Orient Green,855.75,8.8
November,Chennai,Tata Power Company Ltd.,820.4,8.8
April,Chennai,Reliance Energy,1181.25,8.8
January,Chennai,Indowind Energy,555.8,8.8
April,Chennai,Tata Power Company Ltd.,1585.5,8.8
March,Chennai,Indowind Energy,1025.5,8.8
February,Chennai,Tata Power Company Ltd.,634.2,8.8
October,Chennai,Orient Green,985.25,8.8
June,Chennai,Indowind Energy,3717,8.8
September,Chennai,Tata Power Company Ltd.,1125.6,8.8
April,Chennai,Orient Green,1252.125,8.8
October,Chennai,Orient Green,1076.25,8.8
January,Chennai,Orient Green,1220.8,8.8
June,Chennai,Adani Power Ltd.,2462.25,8.8
September,Chennai,Reliance Energy,1085.7,8.8
September,Chennai,Indowind Energy,802.2,8.8
March,Chennai,Indowind Energy,722.75,8.8
June,Chennai,Reliance Energy,1606.5,8.8
June,Chennai,Reliance Energy,2373,8.8
December,Chennai,Indowind Energy,789.6,8.8
April,Chennai,Reliance Energy,674.625,8.8
July,Chennai,Adani Power Ltd.,2703.75,8.8
December,Chennai,Reliance Energy,782.6,8.8
February,Chennai,Tata Power Company Ltd.,736.4,8.8
January,Chennai,Adani Power Ltd.,831.6,8.8
September,Chennai,Orient Green,1127.7,8.8
May,Chennai,Reliance Energy,1484,8.8
April,Chennai,Indowind Energy,1414.875,8.8
December,Chennai,Tata Power Company Ltd.,637,8.8
October,Chennai,Indowind Energy,532,8.8
August,Chennai,Tata Power Company Ltd.,1580.25,8.8
March,Chennai,Indowind Energy,869.75,8.8
November,Chennai,Reliance Energy,740.6,8.8
December,Chennai,Adani Power Ltd.,715.4,8.8
June,Chennai,Indowind Energy,1611.75,8.8
May,Chennai,Adani Power Ltd.,1543.5,8.8
September,Chennai,Adani Power Ltd.,1018.5,8.8
October,Chennai,Tata Power Company Ltd.,1023.75,8.8
December,Chennai,Tata Power Company Ltd.,497,8.8
November,Chennai,Indowind Energy,638.4,8.8
December,Chennai,Adani Power Ltd.,439.6,8.8
January,Chennai,Tata Power Company Ltd.,933.8,8.8
May,Chennai,Reliance Energy,2086,8.8
February,Chennai,Orient Green,781.2,8.8
December,Chennai,Tata Power Company Ltd.,645.4,8.8
October,Chennai,Tata Power Company Ltd.,959,8.8
February,Chennai,Reliance Energy,623,8.8
November,Chennai,Tata Power Company Ltd.,1057,8.8
January,Chennai,Reliance Energy,665,8.8
May,Chennai,Tata Power Company Ltd.,1904,8.8
October,Chennai,Indowind Energy,1081.5,8.8
March,Chennai,Reliance Energy,1174.25,8.8
July,Chennai,Reliance Energy,2766.75,8.8
July,Chennai,Indowind Energy,2908.5,8.8
February,Chennai,Adani Power Ltd.,925.4,8.8
March,Chennai,Orient Green,1286.25,8.8
August,Chennai,Tata Power Company Ltd.,1136.625,8.8
April,Chennai,Orient Green,1535.625,8.8
January,Chennai,Indowind Energy,1010.8,8.8
August,Chennai,Orient Green,1078.875,8.8
March,Chennai,Indowind Energy,591.5,8.8
March,Chennai,Indowind Energy,794.5,8.8
April,Chennai,Tata Power Company Ltd.,1094.625,8.8
October,Chennai,Reliance Energy,931,8.8
April,Chennai,Orient Green,1666.875,8.8
September,Chennai,Adani Power Ltd.,1428,8.8
December,Chennai,Adani Power Ltd.,663.6,8.8
April,Chennai,Tata Power Company Ltd.,1294.125,8.8
April,Chennai,Reliance Energy,1244.25,8.8
June,Chennai,Adani Power Ltd.,2551.5,8.8
July,Chennai,Orient Green,2845.5,8.8
January,Chennai,Reliance Energy,880.6,8.8
August,Chennai,Indowind Energy,1900.5,8.8
February,Chennai,Indowind Energy,681.8,8.8
October,Chennai,Reliance Energy,931,8.8
November,Chennai,Indowind Energy,672,8.8
October,Chennai,Orient Green,675.5,8.8
March,Chennai,Reliance Energy,773.5,8.8
November,Chennai,Orient Green,779.8,8.8
June,Chennai,Reliance Energy,2152.5,8.8
September,Chennai,Tata Power Company Ltd.,1465.8,8.8
September,Chennai,Reliance Energy,1081.5,8.8
January,Chennai,Tata Power Company Ltd.,747.6,8.8
September,Chennai,Orient Green,1012.2,8.8
September,Chennai,Adani Power Ltd.,1054.2,8.8
December,Chennai,Orient Green,543.2,8.8
June,Chennai,Orient Green,2803.5,8.8
July,Chennai,Orient Green,2383.5,8.8
October,Chennai,Adani Power Ltd.,778.75,8.8
August,Chennai,Indowind Energy,1375.5,8.8
March,Chennai,Indowind Energy,561.75,8.8
September,Chennai,Orient Green,1432.2,8.8
August,Chennai,Tata Power Company Ltd.,1937.25,8.8
October,Chennai,Orient Green,787.5,8.8
June,Chennai,Adani Power Ltd.,2357.25,8.8
May,Chennai,Orient Green,2457,8.8
September,Chennai,Reliance Energy,1136.1,8.8
August,Chennai,Indowind Energy,997.5,8.8
June,Chennai,Tata Power Company Ltd.,3701.25,8.8
September,Chennai,Indowind Energy,1430.1,8.8
July,Chennai,Reliance Energy,2751,8.8
August,Chennai,Indowind Energy,1724.625,8.8
February,Chennai,Adani Power Ltd.,672,8.8
May,Chennai,Indowind Energy,2254,8.8
September,Chennai,Orient Green,1222.2,8.8
May,Chennai,Indowind Energy,1179.5,8.8
June,Chennai,Adani Power Ltd.,1984.5,8.8
October,Chennai,Indowind Energy,915.25,8.8
February,Chennai,Indowind Energy,730.8,8.8
August,Chennai,Reliance Energy,1653.75,8.8
March,Chennai,Reliance Energy,1113,8.8
February,Chennai,Adani Power Ltd.,810.6,8.8
December,Chennai,Orient Green,1044.4,8.8
March,Chennai,Adani Power Ltd.,997.5,8.8
March,Chennai,Tata Power Company Ltd.,904.75,8.8
July,Chennai,Tata Power Company Ltd.,3433.5,8.8
January,Chennai,Adani Power Ltd.,705.6,8.8
March,Chennai,Adani Power Ltd.,992.25,8.8
February,Chennai,Reliance Energy,778.4,8.8
September,Chennai,Tata Power Company Ltd.,1211.7,8.8
August,Chennai,Adani Power Ltd.,1323,8.8
May,Chennai,Adani Power Ltd.,1851.5,8.8
June,Chennai,Orient Green,3370.5,8.8
April,Chennai,Orient Green,1396.5,8.8
December,Chennai,Indowind Energy,652.4,8.8
February,Chennai,Adani Power Ltd.,448,8.8
July,Chennai,Reliance Energy,3801,8.8
September,Chennai,Reliance Energy,1453.2,8.8
November,Chennai,Adani Power Ltd.,970.2,8.8
July,Chennai,Tata Power Company Ltd.,2241.75,8.8
April,Chennai,Reliance Energy,1882.125,8.8
August,Chennai,Indowind Energy,1858.5,8.8
December,Chennai,Reliance Energy,756,8.8
May,Chennai,Tata Power Company Ltd.,2373,8.8
February,Chennai,Orient Green,476,8.8
May,Chennai,Adani Power Ltd.,2649.5,8.8
April,Chennai,Reliance Energy,1228.5,8.8
December,Chennai,Adani Power Ltd.,845.6,8.8
October,Chennai,Orient Green,1212.75,8.8
May,Chennai,Indowind Energy,1207.5,8.8
March,Chennai,Reliance Energy,1120,8.8
May,Chennai,Orient Green,1186.5,8.8
June,Chennai,Orient Green,2976.75,8.8
June,Chennai,Indowind Energy,2719.5,8.8
November,Chennai,Tata Power Company Ltd.,651,8.8
July,Chennai,Tata Power Company Ltd.,2236.5,8.8
September,Chennai,Reliance Energy,1140.3,8.8
November,Chennai,Reliance Energy,758.8,8.8
July,Chennai,Tata Power Company Ltd.,2178.75,8.8
July,Chennai,Tata Power Company Ltd.,2882.25,8.8
July,Chennai,Adani Power Ltd.,3344.25,8.8
July,Chennai,Orient Green,3822,8.8
January,Chennai,Adani Power Ltd.,800.8,8.8
October,Chennai,Orient Green,1018.5,8.8
July,Chennai,Indowind Energy,3034.5,8.8
October,Chennai,Reliance Energy,1125.25,8.8
March,Chennai,Indowind Energy,1025.5,8.8
July,Chennai,Reliance Energy,3585.75,8.8
March,Chennai,Indowind Energy,1064,8.8
January,Chennai,Orient Green,886.2,8.8
June,Chennai,Reliance Energy,2052.75,8.8
January,Chennai,Tata Power Company Ltd.,690.2,8.8
September,Chennai,Adani Power Ltd.,840,8.8
April,Chennai,Adani Power Ltd.,1246.875,8.8
September,Chennai,Adani Power Ltd.,888.3,8.8
August,Chennai,Orient Green,1128.75,8.8
February,Chennai,Reliance Energy,796.6,8.8
July,Chennai,Reliance Energy,2184,8.8
June,Chennai,Tata Power Company Ltd.,3270.75,8.8
March,Chennai,Adani Power Ltd.,733.25,8.8
February,Chennai,Adani Power Ltd.,583.8,8.8
June,Chennai,Tata Power Company Ltd.,2121,8.8
August,Chennai,Indowind Energy,1144.5,8.8
March,Chennai,Orient Green,1002.75,8.8
August,Chennai,Adani Power Ltd.,1281,8.8
February,Chennai,Reliance Energy,694.4,8.8
November,Chennai,Tata Power Company Ltd.,540.4,8.8
July,Chennai,Tata Power Company Ltd.,2630.25,8.8
October,Chennai,Orient Green,938,8.8
September,Chennai,Orient Green,945,8.8
August,Chennai,Indowind Energy,1470,8.8
September,Chennai,Tata Power Company Ltd.,1617,8.8
September,Chennai,Adani Power Ltd.,903,8.8
February,Chennai,Orient Green,656.6,8.8
May,Chennai,Tata Power Company Ltd.,1690.5,8.8
September,Chennai,Adani Power Ltd.,905.1,8.8
November,Chennai,Reliance Energy,681.8,8.8
February,Chennai,Reliance Energy,786.8,8.8
December,Chennai,Adani Power Ltd.,977.2,8.8
July,Chennai,Adani Power Ltd.,3580.5,8.8
February,Chennai,Reliance Energy,873.6,8.8
April,Chennai,Orient Green,1236.375,8.8
September,Chennai,Indowind Energy,1029,8.8
June,Chennai,Reliance Energy,2614.5,8.8
May,Chennai,Indowind Energy,1298.5,8.8
November,Chennai,Adani Power Ltd.,754.6,8.8
January,Chennai,Adani Power Ltd.,966,8.8
February,Chennai,Tata Power Company Ltd.,348.6,8.8
October,Chennai,Tata Power Company Ltd.,1139.25,8.8
August,Chennai,Tata Power Company Ltd.,774.375,8.8
October,Chennai,Tata Power Company Ltd.,936.25,8.8
March,Chennai,Indowind Energy,1060.5,8.8
November,Chennai,Indowind Energy,824.6,8.8
August,Chennai,Orient Green,1351.875,8.8
October,Chennai,Indowind Energy,1044.75,8.8
September,Dahej,Orient Green,626.22,7.6
December,Dahej,Indowind Energy,553.56,7.6
July,Dahej,Adani Power Ltd.,2312.1,7.6
April,Dahej,Reliance Energy,960.75,7.6
June,Dahej,Orient Green,1329.3,7.6
February,Dahej,Reliance Energy,466.2,7.6
May,Dahej,Tata Power Company Ltd.,1541.4,7.6
February,Dahej,Tata Power Company Ltd.,437.64,7.6
September,Dahej,Orient Green,768.6,7.6
May,Dahej,Tata Power Company Ltd.,1377.6,7.6
September,Dahej,Indowind Energy,771.12,7.6
September,Dahej,Tata Power Company Ltd.,637.56,7.6
August,Dahej,Indowind Energy,1059.975,7.6
April,Dahej,Adani Power Ltd.,685.125,7.6
January,Dahej,Indowind Energy,273.84,7.6
October,Dahej,Adani Power Ltd.,648.9,7.6
April,Dahej,Indowind Energy,826.875,7.6
September,Dahej,Reliance Energy,621.18,7.6
January,Dahej,Indowind Energy,368.76,7.6
December,Dahej,Adani Power Ltd.,399,7.6
January,Dahej,Adani Power Ltd.,500.64,7.6
September,Dahej,Reliance Energy,842.94,7.6
March,Dahej,Tata Power Company Ltd.,562.8,7.6
July,Dahej,Reliance Energy,1606.5,7.6
November,Dahej,Tata Power Company Ltd.,306.6,7.6
October,Dahej,Orient Green,456.75,7.6
June,Dahej,Reliance Energy,1562.4,7.6
March,Dahej,Indowind Energy,641.55,7.6
September,Dahej,Adani Power Ltd.,520.38,7.6
September,Dahej,Reliance Energy,924.84,7.6
August,Dahej,Orient Green,529.2,7.6
April,Dahej,Adani Power Ltd.,1097.775,7.6
February,Dahej,Adani Power Ltd.,531.72,7.6
April,Dahej,Adani Power Ltd.,878.85,7.6
June,Dahej,Indowind Energy,1313.55,7.6
August,Dahej,Adani Power Ltd.,848.925,7.6
April,Dahej,Orient Green,1154.475,7.6
November,Dahej,Reliance Energy,162.96,7.6
December,Dahej,Indowind Energy,567.84,7.6
August,Dahej,Indowind Energy,596.925,7.6
March,Dahej,Orient Green,295.05,7.6
August,Dahej,Indowind Energy,796.95,7.6
July,Dahej,Reliance Energy,1319.85,7.6
April,Dahej,Tata Power Company Ltd.,1003.275,7.6
June,Dahej,Indowind Energy,1578.15,7.6
March,Dahej,Orient Green,662.55,7.6
December,Dahej,Adani Power Ltd.,662.76,7.6
March,Dahej,Reliance Energy,517.65,7.6
October,Dahej,Indowind Energy,480.9,7.6
September,Dahej,Reliance Energy,916.02,7.6
February,Dahej,Reliance Energy,484.68,7.6
June,Dahej,Adani Power Ltd.,2050.65,7.6
September,Dahej,Reliance Energy,430.92,7.6
June,Dahej,Tata Power Company Ltd.,1827,7.6
November,Dahej,Reliance Energy,448.56,7.6
March,Dahej,Indowind Energy,570.15,7.6
January,Dahej,Orient Green,429.24,7.6
March,Dahej,Tata Power Company Ltd.,676.2,7.6
January,Dahej,Reliance Energy,413.28,7.6
February,Dahej,Reliance Energy,337.68,7.6
May,Dahej,Indowind Energy,1264.2,7.6
August,Dahej,Reliance Energy,954.45,7.6
January,Dahej,Adani Power Ltd.,304.08,7.6
September,Dahej,Reliance Energy,851.76,7.6
December,Dahej,Orient Green,419.16,7.6
January,Dahej,Adani Power Ltd.,583.8,7.6
November,Dahej,Indowind Energy,489.72,7.6
June,Dahej,Tata Power Company Ltd.,2022.3,7.6
April,Dahej,Reliance Energy,1071,7.6
September,Dahej,Orient Green,472.5,7.6
October,Dahej,Indowind Energy,447.3,7.6
October,Dahej,Adani Power Ltd.,554.4,7.6
August,Dahej,Reliance Energy,828.45,7.6
January,Dahej,Reliance Energy,467.04,7.6
March,Dahej,Tata Power Company Ltd.,583.8,7.6
May,Dahej,Adani Power Ltd.,1142.4,7.6
July,Dahej,Tata Power Company Ltd.,1707.3,7.6
June,Dahej,Reliance Energy,2028.6,7.6
June,Dahej,Tata Power Company Ltd.,2009.7,7.6
November,Dahej,Adani Power Ltd.,355.32,7.6
August,Dahej,Adani Power Ltd.,615.825,7.6
April,Dahej,Orient Green,785.925,7.6
March,Dahej,Tata Power Company Ltd.,626.85,7.6
August,Dahej,Reliance Energy,954.45,7.6
August,Dahej,Tata Power Company Ltd.,861.525,7.6
October,Dahej,Reliance Energy,455.7,7.6
February,Dahej,Orient Green,236.04,7.6
June,Dahej,Reliance Energy,856.8,7.6
July,Dahej,Orient Green,1105.65,7.6
January,Dahej,Reliance Energy,586.32,7.6
December,Dahej,Reliance Energy,556.08,7.6
December,Dahej,Tata Power Company Ltd.,459.48,7.6
July,Dahej,Adani Power Ltd.,1779.75,7.6
April,Dahej,Tata Power Company Ltd.,789.075,7.6
August,Dahej,Indowind Energy,726.075,7.6
January,Dahej,Tata Power Company Ltd.,397.32,7.6
December,Dahej,Orient Green,336.84,7.6
January,Dahej,Indowind Energy,465.36,7.6
February,Dahej,Orient Green,388.92,7.6
July,Dahej,Orient Green,1260,7.6
February,Dahej,Tata Power Company Ltd.,353.64,7.6
February,Dahej,Orient Green,420,7.6
March,Dahej,Tata Power Company Ltd.,518.7,7.6
December,Dahej,Tata Power Company Ltd.,622.44,7.6
April,Dahej,Tata Power Company Ltd.,548.1,7.6
November,Dahej,Tata Power Company Ltd.,396.48,7.6
September,Dahej,Adani Power Ltd.,540.54,7.6
August,Dahej,Indowind Energy,756,7.6
November,Dahej,Tata Power Company Ltd.,377.16,7.6
October,Dahej,Adani Power Ltd.,620.55,7.6
June,Dahej,Adani Power Ltd.,1338.75,7.6
May,Dahej,Reliance Energy,657.3,7.6
December,Dahej,Reliance Energy,520.8,7.6
May,Dahej,Reliance Energy,905.1,7.6
March,Dahej,Tata Power Company Ltd.,595.35,7.6
September,Dahej,Orient Green,540.54,7.6
May,Dahej,Reliance Energy,879.9,7.6
November,Dahej,Adani Power Ltd.,372.96,7.6
January,Dahej,Adani Power Ltd.,315,7.6
October,Dahej,Tata Power Company Ltd.,540.75,7.6
November,Dahej,Reliance Energy,351.96,7.6
July,Dahej,Indowind Energy,2047.5,7.6
February,Dahej,Indowind Energy,490.56,7.6
November,Dahej,Adani Power Ltd.,546.84,7.6
January,Dahej,Adani Power Ltd.,220.08,7.6
March,Dahej,Indowind Energy,645.75,7.6
December,Dahej,Adani Power Ltd.,514.08,7.6
September,Dahej,Orient Green,719.46,7.6
October,Dahej,Tata Power Company Ltd.,471.45,7.6
December,Dahej,Orient Green,443.52,7.6
February,Dahej,Orient Green,401.52,7.6
February,Dahej,Reliance Energy,277.2,7.6
November,Dahej,Reliance Energy,299.04,7.6
September,Dahej,Adani Power Ltd.,509.04,7.6
August,Dahej,Reliance Energy,414.225,7.6
April,Dahej,Reliance Energy,557.55,7.6
December,Dahej,Indowind Energy,365.4,7.6
December,Dahej,Adani Power Ltd.,463.68,7.6
February,Dahej,Adani Power Ltd.,276.36,7.6
December,Dahej,Reliance Energy,282.24,7.6
November,Dahej,Orient Green,656.04,7.6
July,Dahej,Indowind Energy,1575,7.6
December,Dahej,Indowind Energy,432.6,7.6
October,Dahej,Reliance Energy,631.05,7.6
September,Dahej,Adani Power Ltd.,700.56,7.6
November,Dahej,Indowind Energy,385.56,7.6
October,Dahej,Adani Power Ltd.,241.5,7.6
October,Dahej,Orient Green,638.4,7.6
September,Dahej,Reliance Energy,1098.72,7.6
November,Dahej,Reliance Energy,1332.24,7.6
September,Dahej,Tata Power Company Ltd.,1353.24,7.6
January,Dahej,Adani Power Ltd.,846.72,7.6
July,Dahej,Orient Green,2167.2,7.6
May,Dahej,Adani Power Ltd.,2121,7.6
April,Dahej,Adani Power Ltd.,1263.15,7.6
December,Dahej,Adani Power Ltd.,811.44,7.6
October,Dahej,Indowind Energy,1449,7.6
April,Dahej,Reliance Energy,2056.95,7.6
December,Dahej,Orient Green,784.56,7.6
January,Dahej,Tata Power Company Ltd.,1296.96,7.6
December,Dahej,Adani Power Ltd.,688.8,7.6
October,Dahej,Orient Green,1516.2,7.6
November,Dahej,Indowind Energy,798,7.6
October,Dahej,Tata Power Company Ltd.,1039.5,7.6
April,Dahej,Adani Power Ltd.,1997.1,7.6
July,Dahej,Adani Power Ltd.,3647.7,7.6
May,Dahej,Orient Green,1680,7.6
August,Dahej,Adani Power Ltd.,1694.7,7.6
April,Dahej,Tata Power Company Ltd.,1669.5,7.6
October,Dahej,Adani Power Ltd.,976.5,7.6
May,Dahej,Adani Power Ltd.,2066.4,7.6
March,Dahej,Indowind Energy,1136.1,7.6
June,Dahej,Orient Green,3131.1,7.6
February,Dahej,Orient Green,663.6,7.6
February,Dahej,Orient Green,623.28,7.6
July,Dahej,Tata Power Company Ltd.,3521.7,7.6
June,Dahej,Adani Power Ltd.,2639.7,7.6
February,Dahej,Indowind Energy,700.56,7.6
August,Dahej,Orient Green,1732.5,7.6
February,Dahej,Indowind Energy,719.04,7.6
March,Dahej,Orient Green,953.4,7.6
October,Dahej,Tata Power Company Ltd.,1287.3,7.6
September,Dahej,Orient Green,1370.88,7.6
January,Dahej,Indowind Energy,739.2,7.6
December,Dahej,Orient Green,971.04,7.6
June,Dahej,Orient Green,5178.6,7.6
May,Dahej,Orient Green,2864.4,7.6
March,Dahej,Tata Power Company Ltd.,1392.3,7.6
July,Dahej,Tata Power Company Ltd.,2923.2,7.6
April,Dahej,Tata Power Company Ltd.,1442.7,7.6
November,Dahej,Reliance Energy,564.48,7.6
